COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
DCDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxycholic Acid,26712,26173,26686,24844,22880,29318,24358,28629,24138,25985,22390,26872,26008,23306,24777,26885,23561,22813,23828,23463,8448,10497,9896,8541,8498,8312,8855,8920,9414,7453,7699,8403,7831,9263,7851,9191,8799,9268,8277,8756
Chenodeoxycholate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-Muricholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gamma-Tocopherol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alpha-Tocopherol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30798,30582,31693,31679,31539,29159,37259,35596,32116,34794,31381,29668,29825,29145,29232,30388,29556,29907,29597,34419
GDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycochenodeoxycholate,1292108,1263726,1288917,1211156,1250649,1226328,1222554,1141551,1215253,1074582,1058409,1039886,1119756,1060059,1120811,1216127,1114705,1099204,1133123,1147168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenylosuccinate,367178,372240,387020,361059,359170,378134,349393,350222,326605,332228,323417,325827,313250,294317,330369,305641,323990,305801,297992,330837,120448,119766,113305,113571,103516,103981,119280,111815,102189,116494,96619,108475,96666,100588,114466,103888,103703,97477,103110,96648
Glycocholate,53297,51238,46247,40349,45201,47137,46039,43671,44870,41571,39634,41808,41315,38222,41540,38262,43349,42903,44120,40860,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cholesteryl Sulfate,4403189,4204471,4431102,4235219,4266793,4214169,4075104,3867502,3928130,3635662,3700179,3462325,3850075,3792130,3808337,3624999,3548768,3394169,3396981,3538208,267711,256725,264225,255885,252744,237947,238183,249157,229602,229622,225096,223900,223644,240753,228663,237235,225612,230922,227498,234594
dCTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoadenosine Phosphosulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tauro-alpha/beta-Muricholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocholate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-Glucose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-GlcNAc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oxidized Glutathione,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14793,16159,17686,16700,17683,17180,17548,23977,19527,17833,16829,16333,16495,15436,18650,15921,15499,16606,15872,15779
NADH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3C13-Glycine,276358,267308,268268,257303,245981,248067,238533,216120,224931,208416,219686,207997,208130,202313,191857,194002,183148,184308,184213,191412,279731,297826,289052,293530,275364,290846,270124,267520,260478,247572,245743,224066,257005,221564,219416,213868,238092,217404,207089,212657
4C13-Alanine,3521037,3416291,3480848,3299176,3279640,3392530,3184573,2963197,3104250,2969209,2914412,2806246,2363371,2590297,2622649,2600827,2433622,2514685,2460147,2331598,4118138,3986147,4066302,3773565,3827393,3875282,3745639,3625354,3537129,3391114,3504717,3292962,3240027,3236099,3045152,3073593,2965472,3004522,2992959,2898193
2C13-Choline,47006275,46403856,47242749,46744808,45073948,44724537,42906875,43988385,41461689,41699899,41295725,38559700,39462151,38612050,37737734,37312467,36474297,35831839,33910015,33661186,65156540,64732240,66641725,67156231,63671013,63012752,59819769,61326586,58390468,58230211,57982883,55602732,55335650,54303622,54580557,52989763,52016160,51596811,50375679,49370991
4C13-Serine,3225419,3153133,3105730,3023794,3001320,2958668,2889056,2780674,2832867,2737879,2646182,2579544,2444703,2472777,2443892,2378221,2509163,2312266,2325490,2274321,3377345,3349880,3307406,3344867,3293441,3357872,3261147,3012033,3112429,2915915,2845101,2705517,2714979,2715756,2659798,2628216,2684276,2615055,2665489,2636027
d3-Creatinine,50891586,51796494,51512825,50586913,49740738,48482324,46739801,46767420,43996487,42803837,43172396,40527256,40815520,39891080,39544464,39048011,38344498,37898908,36393039,35551397,53043677,53406250,54037943,53984755,52472531,50893935,49160615,48791650,46076716,45716981,45735053,43426358,43554365,43142778,42762214,42100969,41631159,41186490,40170770,40120385
6C13-Proline,3864657,3789811,3668154,3718930,3743398,3662794,3753261,3781500,3643122,3659319,3551194,3641295,3554560,3454112,3582248,3444154,3549531,3453948,3426133,3433940,4338461,4015249,3960323,4011594,3989996,4129622,4083470,4214654,3937773,3918853,4100695,3914842,3924900,4012812,4338604,4091770,4335672,4167934,4156672,4460479
6C13-Valine,5422281,5987278,5791888,5393753,5374602,5178933,5205055,5118405,4803036,4784572,4790602,4463396,4538515,4482822,4307554,4184409,4096990,4064678,4056558,3892180,6622658,6763832,6564555,6226005,6273648,6091822,5824564,5721254,5746421,5438906,5354127,5301988,5163085,5023884,5101896,4992363,4974197,4896924,4736873,4756524
5C13-Threonine,3375678,3567544,3485061,3352944,3239512,3193015,3096103,2949786,2953258,2883225,2847753,2666458,2720693,2651517,2514790,2497462,2493563,2536512,2485641,2491189,3960162,3972482,3864342,3798440,3680973,3777932,3634472,3541331,3359132,3223898,3266522,3117164,3164579,3064502,2812086,2884882,3005772,3021740,3005124,3005107
5C13-Aspartic Acid,4565235,4584518,4516538,4396254,4367825,4247884,4135800,3916391,3938676,3675366,3720253,3479310,3406182,3223843,3096989,3244696,3055037,3381817,3145032,3068100,4798866,4809088,4768895,4697686,4507097,4776866,4752430,4481784,4585936,4150884,4236286,3842025,3824950,3846585,3869103,3910689,3849093,3886605,3919650,3806063
6C13-Asparagine,4667866,4477469,4507193,4278838,4189940,4243300,4069530,3874019,3846907,3731955,3620826,3394238,3512944,3446970,3400244,3313078,3121273,3081859,3111682,2966781,4628957,4826613,4829146,4721280,4358190,4617863,4350473,4150600,4160087,4031458,3907118,3651797,3840837,3842932,3573694,3717530,3588456,3633276,3493391,3517746
7C13-Leucine,28137877,27985636,27820932,26959703,26504274,26495774,24712325,24557337,23181719,22868036,23295697,21571302,21516228,20643352,20841436,20736993,19907550,19690170,19062644,18954806,35613202,35050214,34350524,33580115,33395037,32799963,30958070,30032700,29977727,28565005,29372463,27616442,27084049,26198559,26996343,26701970,25510547,26073017,25011998,24266331
7C13-iso-Leucine,3666319,3472688,3496499,3516164,3550376,3395621,3235212,3311105,3313967,2832557,3007317,2783012,2782871,2536363,2727792,2687538,2568898,2534662,2586703,2499195,4106362,4173678,4116267,4162112,4112981,3893867,3690980,3636549,3623024,3629773,3561085,3379879,3232480,3061134,3199366,3069349,3096499,3054411,2997809,2959308
2C13-Glutamic acid,15943572,15471746,15608680,15005672,14852619,15069454,14429535,14304341,13953244,13587570,13725180,12762540,13166091,13063988,12343764,12688605,12337210,12006920,12069754,12389707,23494671,22357921,22176066,21951407,21508049,21232218,20826900,20102522,20345681,19283590,19718589,18428091,18301943,18385703,18209311,18089640,18164836,18070897,17834762,17965269
7C13-Glutamine,12029430,11690514,11220503,11030780,10605563,10708983,10189551,10013101,9546950,9334075,9099768,8518046,7517716,8471831,8123029,7665505,7647505,7786664,7655855,7321986,14623884,14526301,14281478,13878641,13206776,13449359,12841102,12312467,12759474,12333324,11656171,11077278,11695631,11116038,10669779,10953480,10628189,11097769,10348932,10293777
6C13-Glutamic acid,13544114,13487723,13481014,13026135,13178451,12767490,12218949,12013635,11984401,11904108,11741842,11158167,10943520,10558548,10772489,10834637,10802371,10206075,10202351,10121008,15824965,16021520,15715639,15433799,15094657,14720889,14548702,14359441,14399815,13629541,13810382,12698920,12576955,12718272,12695911,12904223,12920416,13026110,12936164,12720340
8C13-Lysine,29880577,29635360,28952034,27351607,26254140,25515975,25226042,24334124,22585190,24901062,25049573,23796362,24264311,22049637,22162101,22476328,22407024,22125554,22420668,22282425,35270011,34443379,32947779,31374251,30794355,28993801,31858485,30928520,29334595,28873212,28553236,27553017,27149370,28565097,29502868,28792992,27737411,28263541,26548947,27234038
6C13-Methionine,1017690,935038,975184,932348,971081,870320,898011,904021,837982,817061,814595,738904,757347,769576,699998,724940,714723,690738,702596,648833,1157882,1192521,1109741,1081808,1026032,1088950,1027589,1021813,1010528,911499,1000586,931810,868214,888790,880224,869316,842020,854864,824478,815052
9C13-Histidine,15267990,14377961,13836365,12729349,11575851,11547071,10424769,9949969,9233235,8713755,8391080,7707120,7552995,7283532,5906760,6467584,6427467,4572242,5924690,5683159,16855618,15677038,14567197,13712160,12392525,12356267,11209582,11096452,10211657,9121621,9244748,6917415,7736928,7988829,7594361,7868179,7645034,7927873,6289817,7077057
10C13-Phenylalanine,11823447,11366986,11784069,11005644,10813379,10833310,10463150,9593393,9747392,9728987,9542278,9190093,8635432,8590503,8405235,8404782,8036202,7899439,7715334,7554764,13911074,13667592,13323515,13339167,12939331,12668891,12352746,12332917,11679893,11306965,11230142,10553916,10614214,10319672,10417502,10263215,9977095,9891682,9390952,9332964
2C13-Tyrosine,2957677,2998449,2839011,2834346,2898853,2773250,2945790,2695441,2909478,2621085,2692748,2596791,2618159,2614042,2502920,2402420,2485044,2451234,2456023,2441719,2994094,2911388,2999015,2930917,2956220,2856287,2803531,2864662,2663563,2682241,2766976,2648441,2702420,2529124,2417557,2490722,2470205,2422745,2359019,2357811
10C13-Arginine,95942559,92135973,93409026,87423835,80645403,82406615,77012591,77045170,70988439,70196772,68253543,70642018,66865437,63483400,65906413,63611912,61175856,55273321,60072809,58965978,101887681,101316852,95735789,91841470,87426627,89229436,86203580,83106221,77888427,77170097,76686517,71402829,71852122,67784496,76253055,69501551,67164435,70659873,62554099,66661961
10C13-Tyrosine,539140,524301,501445,483985,492901,449927,500831,475111,491488,466403,465371,450181,439259,450076,426588,410026,425271,394371,395202,395826,557772,578342,574408,561222,537645,582544,557910,523142,559926,563786,502229,501298,536942,495049,505768,529478,464986,476343,439768,436010
13C13-Tryptophan,7725213,7665978,7764709,7419719,7619407,7205696,7277156,6753497,6443173,6564858,6261167,5975354,6063156,5838448,5728524,5756490,5626667,5530897,5345674,5178651,8966531,8697029,8456191,8416677,8218259,8310222,7922474,7728685,7366877,7197928,7290877,6978323,6895938,6691983,6681914,6577069,6433649,6322091,6300844,6299519
8C13-Cystine,162886,195878,178524,146546,141754,169039,154564,149743,139889,126770,126593,117005,128529,120500,109839,85898,104486,102316,95843,88820,232883,225266,233079,221001,215758,201085,189638,178196,194634,183651,178574,175288,174975,170406,201508,181338,180192,177720,167871,159718
11C13-Uridine,613395,631659,631772,638435,629893,637367,612955,614575,587386,568760,562204,544986,513405,525602,524220,509582,500985,491138,494547,480791,753691,761767,773362,813572,797857,778617,766652,755950,756654,712093,721181,673114,645651,662002,652230,659657,638263,651604,646318,644391
3C13-Lactate,15551649,15629751,16185157,16012303,15648559,16123681,15640710,15530325,15244443,14742680,14977521,14333210,15013905,14956494,15144359,14954068,14512200,14800121,14615243,14433176,17315688,16925113,17491580,17582761,17447602,18240333,17512501,17375559,17536503,16635651,16989505,16104092,16870240,16698442,17201784,16757671,16487709,16540000,16576180,16586827
4C13-3HBA,13190153,13210705,13216387,13157280,13090597,12941623,13137963,12776152,12647482,12553771,12685880,12007554,12196311,12102236,12142638,12295016,12067386,12177236,11977580,12013947,10115052,10292420,10213763,10135575,10281114,10077492,10240445,10057956,9802109,9903390,9767658,9582100,9634385,9668071,9696310,9875933,9642945,9743968,9665683,9668841
2N15-Xanthine,2215902,2250460,2222066,2146942,2128992,2147141,2122150,2057365,2019183,2040629,2017333,1990569,2050003,2006057,1974054,2030400,1968458,1948098,1997754,1904720,1587379,1588799,1568288,1595454,1534554,1537249,1535426,1535428,1508503,1490844,1492416,1447570,1474715,1485997,1474338,1523469,1522106,1521271,1502522,1533054
2N15-Urate,13458829,13369152,12872819,12724699,12505399,12356724,11314725,11785592,11888454,12246695,11629496,11455714,10632745,11053791,10965589,10453559,10483549,11086633,10367654,10265189,23025451,21638079,21343205,20536908,19219689,19231456,18410584,15850914,17387431,18082884,17329181,17504926,17130173,17590940,15753730,14153925,17224474,16854688,15878691,14659705
1C13-Citrulline,4135118,3952650,3855515,3729827,3763171,3723325,3513669,3638675,3463550,3428355,3368858,3361634,3198286,3239557,3161930,3198365,3176943,3103710,3015777,3062589,6990201,6943841,6743085,6686847,6610272,6742836,6473204,6553524,6473373,6317591,6210659,5992447,5908506,5869185,6249093,6037943,5885956,5953217,5826822,5851793
6C13-Glucose,2710753,2596165,2509588,2753858,2464493,2512705,2630485,2393030,2519573,2389610,2463982,2205749,2382838,2261915,2263134,2296809,2204031,2198190,2046991,2146319,2561864,2362927,2589425,2631718,2538204,2664763,2312663,2500684,2434492,2416523,2271219,2285537,2420577,2228509,2449378,2318231,2204632,2107804,2124898,2120248
4C13-Pentothenate,4688193,4407988,4128646,3935105,4416979,4095585,4447125,4081592,4197918,4688594,4051026,4640620,4087149,4115740,3990484,4405481,4805068,4293466,4309170,4515393,5754553,6201318,5390661,5483282,5276515,4833967,5259559,5183144,4849976,5542874,5165451,5724652,5747270,5662374,5276662,5653307,5485028,5773670,5680745,5915687
